                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.35224,                0.33671,                0.98875,                0.88113,                0.55533,                0.64838,                0.61144,                0.38071,                0.71044,                0.98536,               0.004324,               0.004324,               0.004324
                     88,                0.35435,                0.33711,                0.98775,                0.87742,                 0.5524,                0.65011,                0.61082,                0.38632,                0.70331,                0.98601,               0.004258,               0.004258,               0.004258
                     89,                0.35845,                0.34085,                0.99099,                0.89355,                0.54608,                0.65307,                0.61543,                0.38277,                0.69142,                0.98407,               0.004192,               0.004192,               0.004192
                     90,                0.35279,                0.33392,                0.98679,                0.88134,                0.55391,                0.65334,                0.61477,                0.37727,                0.69768,                0.98223,               0.004126,               0.004126,               0.004126
                     91,                0.35051,                0.33278,                0.98752,                0.87893,                0.55266,                0.65935,                0.61741,                0.38322,                0.68592,                 0.9874,                0.00406,                0.00406,                0.00406
                     92,                0.34592,                0.32267,                0.98384,                0.89016,                 0.5529,                0.65773,                0.61923,                0.38885,                0.72381,                 0.9936,               0.003994,               0.003994,               0.003994
                     93,                0.35134,                0.32895,                0.98881,                0.89535,                 0.5457,                0.65555,                0.61818,                 0.3913,                0.71666,                0.99454,               0.003928,               0.003928,               0.003928
                     94,                0.34839,                0.32823,                0.98583,                0.89806,                0.54865,                0.65583,                0.61512,                0.38968,                0.71835,                0.99505,               0.003862,               0.003862,               0.003862
                     95,                0.34137,                0.32696,                0.98521,                0.88688,                0.55029,                0.65489,                0.61747,                0.38836,                0.72425,                0.99356,               0.003796,               0.003796,               0.003796
                     96,                0.34164,                 0.3171,                0.97702,                0.89696,                 0.5492,                0.64985,                0.61174,                0.37893,                0.71461,                 0.9882,                0.00373,                0.00373,                0.00373
                     97,                0.33936,                0.31779,                0.98118,                 0.8773,                0.55427,                0.64719,                0.61226,                 0.3747,                0.74472,                0.98608,               0.003664,               0.003664,               0.003664
