                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.46374,                0.54677,                 1.0515,                0.85085,                0.54837,                0.60363,                0.56238,                0.45703,                0.76573,                 1.0277,              0.0065152,              0.0065152,              0.0065152
                     91,                 0.4613,                0.53145,                 1.0523,                0.87282,                0.53122,                0.60727,                0.56306,                0.44882,                0.76517,                 1.0194,              0.0064756,              0.0064756,              0.0064756
                     92,                0.46174,                 0.5333,                 1.0519,                0.85886,                0.54138,                0.60799,                0.56682,                0.44807,                0.78118,                 1.0208,               0.006436,               0.006436,               0.006436
                     93,                0.45139,                0.52707,                 1.0458,                0.86211,                0.53236,                0.60501,                0.56558,                 0.4443,                0.78601,                 1.0174,              0.0063964,              0.0063964,              0.0063964
                     94,                0.45878,                0.52978,                 1.0492,                 0.8428,                0.53414,                0.60707,                 0.5681,                0.44877,                0.79588,                 1.0221,              0.0063568,              0.0063568,              0.0063568
                     95,                0.45755,                0.53305,                 1.0522,                0.87442,                0.52709,                0.61032,                 0.5714,                0.44078,                0.78544,                 1.0177,              0.0063172,              0.0063172,              0.0063172
                     96,                0.45536,                0.52074,                 1.0448,                 0.8853,                0.53216,                0.61571,                0.57274,                0.43887,                0.76784,                 1.0126,              0.0062776,              0.0062776,              0.0062776
                     97,                0.46059,                0.52173,                 1.0501,                0.85153,                0.54273,                0.61558,                0.57741,                0.43353,                0.78584,                 1.0093,               0.006238,               0.006238,               0.006238
                     98,                0.45172,                0.51696,                 1.0429,                  0.815,                0.56611,                0.61731,                0.58064,                0.43591,                0.78792,                 1.0097,              0.0061984,              0.0061984,              0.0061984
                     99,                 0.4517,                0.51416,                 1.0448,                 0.8368,                0.56111,                0.61953,                0.58239,                0.43726,                0.78598,                 1.0125,              0.0061588,              0.0061588,              0.0061588
                    100,                0.44822,                0.51002,                 1.0444,                0.83579,                0.55107,                0.61941,                0.58216,                0.43723,                0.78309,                  1.017,              0.0061192,              0.0061192,              0.0061192
                    101,                0.44766,                0.51748,                 1.0436,                0.84004,                0.55882,                0.61773,                0.57924,                0.43582,                0.77842,                 1.0148,              0.0060796,              0.0060796,              0.0060796
                    102,                0.45091,                0.51512,                 1.0442,                0.84088,                0.56006,                0.61794,                0.58085,                0.43524,                0.78769,                  1.014,                0.00604,                0.00604,                0.00604
                    103,                 0.4498,                 0.5074,                 1.0433,                0.84624,                0.55965,                0.62114,                0.58118,                0.43823,                0.78575,                 1.0151,              0.0060004,              0.0060004,              0.0060004
                    104,                0.45235,                0.51718,                 1.0479,                0.84815,                0.55611,                0.62001,                0.58153,                0.43478,                0.76031,                 1.0132,              0.0059608,              0.0059608,              0.0059608
                    105,                 0.4441,                0.50014,                 1.0403,                0.84039,                0.55333,                0.61807,                0.57753,                0.43447,                0.77101,                 1.0144,              0.0059212,              0.0059212,              0.0059212
                    106,                0.44685,                0.49814,                 1.0436,                0.86745,                0.54621,                0.61784,                 0.5764,                0.44126,                0.77655,                 1.0225,              0.0058816,              0.0058816,              0.0058816
                    107,                 0.4441,                 0.4981,                 1.0407,                0.86313,                 0.5394,                0.61405,                0.57597,                 0.4399,                0.79207,                  1.023,               0.005842,               0.005842,               0.005842
                    108,                0.44192,                0.50043,                 1.0398,                0.86896,                0.53877,                0.61817,                0.57951,                0.43909,                0.78016,                  1.021,              0.0058024,              0.0058024,              0.0058024
                    109,                 0.4401,                0.49782,                 1.0361,                0.86721,                0.54526,                0.61751,                0.57996,                0.44076,                0.77878,                 1.0217,              0.0057628,              0.0057628,              0.0057628
                    110,                0.44708,                0.50005,                 1.0415,                0.85984,                0.54786,                0.61779,                0.57973,                0.44099,                  0.777,                 1.0232,              0.0057232,              0.0057232,              0.0057232
                    111,                0.44834,                0.50077,                 1.0454,                0.86402,                0.54641,                0.61725,                0.57934,                 0.4344,                0.78542,                 1.0192,              0.0056836,              0.0056836,              0.0056836
                    112,                0.43401,                0.49352,                 1.0315,                0.86312,                0.54702,                0.62042,                0.58215,                 0.4304,                0.78131,                 1.0152,               0.005644,               0.005644,               0.005644
                    113,                0.43704,                0.48482,                 1.0364,                0.85976,                 0.5525,                0.62546,                0.58622,                0.43143,                0.77149,                 1.0153,              0.0056044,              0.0056044,              0.0056044
                    114,                0.43708,                 0.4838,                 1.0338,                0.84725,                0.55634,                0.62634,                0.58533,                0.42762,                0.77097,                 1.0121,              0.0055648,              0.0055648,              0.0055648
                    115,                0.44188,                0.49051,                 1.0388,                0.84545,                0.55664,                0.62892,                0.58896,                0.42401,                0.77533,                 1.0081,              0.0055252,              0.0055252,              0.0055252
                    116,                 0.4411,                0.49126,                 1.0394,                0.87345,                0.54296,                0.63057,                0.59189,                0.41619,                 0.7608,                  1.001,              0.0054856,              0.0054856,              0.0054856
                    117,                0.43853,                  0.483,                 1.0374,                0.87432,                0.54156,                0.62956,                0.59154,                0.41607,                0.74831,                 1.0001,               0.005446,               0.005446,               0.005446
                    118,                0.43341,                0.47921,                 1.0327,                0.86348,                0.54879,                0.63123,                 0.5917,                0.41797,                 0.7521,                 1.0014,              0.0054064,              0.0054064,              0.0054064
                    119,                0.42401,                0.48124,                 1.0307,                0.87194,                0.54407,                0.62869,                0.58961,                0.42058,                0.75494,                  1.004,              0.0053668,              0.0053668,              0.0053668
                    120,                0.42661,                0.47408,                 1.0288,                0.87458,                0.54111,                0.62865,                0.59011,                0.41977,                0.75449,                 1.0045,              0.0053272,              0.0053272,              0.0053272
                    121,                0.43102,                0.47074,                 1.0337,                0.88443,                 0.5384,                0.63029,                0.59182,                0.42323,                0.75133,                 1.0069,              0.0052876,              0.0052876,              0.0052876
                    122,                0.43085,                0.46599,                 1.0308,                0.85525,                0.55193,                0.62926,                0.59181,                0.42192,                0.76306,                 1.0063,               0.005248,               0.005248,               0.005248
                    123,                0.43088,                0.47192,                 1.0325,                0.85469,                0.55164,                 0.6314,                0.59372,                0.42331,                0.77386,                 1.0066,              0.0052084,              0.0052084,              0.0052084
                    124,                0.42599,                0.46264,                 1.0335,                0.87468,                0.54149,                0.62956,                0.59226,                 0.4219,                 0.7717,                  1.006,              0.0051688,              0.0051688,              0.0051688
                    125,                0.42793,                0.47172,                 1.0302,                0.87722,                0.53977,                0.63037,                0.59212,                0.42126,                0.76843,                 1.0059,              0.0051292,              0.0051292,              0.0051292
                    126,                 0.4306,                0.46444,                 1.0333,                 0.8737,                0.53714,                0.63288,                 0.5937,                 0.4208,                0.76368,                 1.0044,              0.0050896,              0.0050896,              0.0050896
                    127,                0.42303,                0.46496,                 1.0263,                0.88733,                0.53557,                0.63069,                0.59167,                0.41793,                0.76422,                 1.0004,                0.00505,                0.00505,                0.00505
                    128,                0.42556,                0.46295,                 1.0301,                 0.8805,                0.53863,                0.63284,                0.59373,                0.41599,                0.75399,                0.99854,              0.0050104,              0.0050104,              0.0050104
                    129,                0.42581,                0.46754,                 1.0301,                0.84857,                0.54956,                0.63228,                0.59468,                 0.4139,                0.75154,                0.99687,              0.0049708,              0.0049708,              0.0049708
                    130,                0.42159,                0.45491,                 1.0294,                0.88122,                0.53714,                0.63165,                0.59534,                 0.4157,                0.74713,                0.99705,              0.0049312,              0.0049312,              0.0049312
                    131,                0.41888,                 0.4596,                 1.0272,                0.88457,                0.53489,                 0.6315,                0.59442,                0.41631,                0.74884,                0.99733,              0.0048916,              0.0048916,              0.0048916
                    132,                0.42169,                 0.4549,                 1.0251,                0.88975,                0.53569,                0.63154,                0.59461,                0.41429,                0.75273,                0.99589,               0.004852,               0.004852,               0.004852
                    133,                0.41598,                0.44554,                 1.0187,                0.84244,                0.55494,                0.63181,                0.59551,                0.41503,                0.75504,                0.99537,              0.0048124,              0.0048124,              0.0048124
                    134,                 0.4165,                0.44618,                 1.0238,                0.84363,                0.55939,                0.63279,                0.59562,                0.41404,                0.75422,                0.99589,              0.0047728,              0.0047728,              0.0047728
                    135,                0.41357,                 0.4478,                 1.0232,                0.84251,                0.56001,                0.63289,                0.59539,                0.41626,                0.75693,                0.99772,              0.0047332,              0.0047332,              0.0047332
                    136,                0.41207,                0.45107,                  1.022,                0.85467,                0.55477,                0.63315,                0.59474,                 0.4163,                0.75726,                0.99832,              0.0046936,              0.0046936,              0.0046936
                    137,                0.41126,                0.43952,                 1.0215,                0.86572,                0.55092,                0.63403,                0.59528,                 0.4151,                0.75658,                0.99716,               0.004654,               0.004654,               0.004654
                    138,                0.41145,                0.44057,                 1.0208,                0.84034,                0.56159,                0.63503,                  0.597,                0.41497,                0.75654,                0.99698,              0.0046144,              0.0046144,              0.0046144
                    139,                0.40903,                0.44916,                 1.0193,                0.83781,                0.56215,                0.63283,                0.59687,                0.41356,                 0.7541,                0.99744,              0.0045748,              0.0045748,              0.0045748
                    140,                0.41818,                 0.4574,                 1.0269,                0.84282,                0.56365,                0.63317,                0.59661,                0.41379,                0.75592,                0.99844,              0.0045352,              0.0045352,              0.0045352
                    141,                0.41425,                0.44285,                 1.0226,                0.83691,                0.56431,                0.63309,                0.59705,                 0.4137,                0.75563,                0.99903,              0.0044956,              0.0044956,              0.0044956
                    142,                0.40177,                0.43008,                 1.0136,                0.83758,                0.56486,                0.63334,                 0.5971,                0.41217,                0.76042,                0.99936,               0.004456,               0.004456,               0.004456
                    143,                0.41033,                0.44457,                  1.019,                0.88557,                0.53876,                 0.6338,                0.59607,                0.41201,                0.75973,                0.99872,              0.0044164,              0.0044164,              0.0044164
                    144,                0.40861,                0.43154,                 1.0188,                0.83789,                0.56255,                0.63354,                0.59678,                 0.4118,                0.76078,                0.99815,              0.0043768,              0.0043768,              0.0043768
                    145,                0.41323,                0.43872,                 1.0228,                0.83718,                0.56345,                0.63293,                0.59564,                 0.4127,                0.76076,                0.99881,              0.0043372,              0.0043372,              0.0043372
                    146,                0.40099,                0.42771,                 1.0167,                  0.839,                0.56417,                0.63186,                0.59492,                0.41286,                0.76348,                0.99782,              0.0042976,              0.0042976,              0.0042976
                    147,                0.40724,                0.42592,                  1.018,                0.83872,                0.56257,                0.63274,                0.59575,                 0.4126,                0.76409,                0.99726,               0.004258,               0.004258,               0.004258
                    148,                0.40629,                0.42789,                 1.0179,                0.84188,                0.56237,                0.63286,                0.59556,                0.41237,                0.76622,                0.99626,              0.0042184,              0.0042184,              0.0042184
                    149,                0.40722,                0.42501,                 1.0186,                0.84169,                0.56139,                0.63352,                0.59601,                 0.4141,                0.76687,                0.99744,              0.0041788,              0.0041788,              0.0041788
                    150,                0.40339,                0.42882,                 1.0151,                0.85051,                0.55866,                0.63314,                0.59613,                0.41431,                0.76742,                0.99774,              0.0041392,              0.0041392,              0.0041392
                    151,                0.40051,                0.43053,                 1.0127,                0.85152,                0.55808,                0.63406,                 0.5966,                0.41505,                0.76799,                 0.9981,              0.0040996,              0.0040996,              0.0040996
                    152,                0.39679,                0.42209,                 1.0125,                0.84952,                0.55978,                0.63451,                0.59609,                 0.4144,                0.76679,                0.99788,                0.00406,                0.00406,                0.00406
                    153,                0.40117,                0.42728,                 1.0148,                0.85017,                0.55913,                0.63488,                0.59661,                0.41528,                0.76712,                0.99925,              0.0040204,              0.0040204,              0.0040204
                    154,                0.40591,                0.42407,                  1.018,                0.85513,                0.55862,                0.63497,                0.59634,                0.41496,                  0.769,                0.99905,              0.0039808,              0.0039808,              0.0039808
                    155,                 0.4028,                0.41822,                 1.0166,                0.85324,                0.55864,                0.63507,                0.59688,                0.41412,                 0.7701,                0.99875,              0.0039412,              0.0039412,              0.0039412
                    156,                0.39314,                0.41458,                 1.0113,                 0.8543,                0.55819,                 0.6355,                0.59665,                  0.414,                0.76732,                 0.9991,              0.0039016,              0.0039016,              0.0039016
